epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,91.7132,1.52189,3.23705,0.97888,0.9661,0.9686,0.97032,0.64847,1.8099,3.4257,1.21502,0.00055648,0.00055648,0.00055648
114,92.5057,1.60019,3.38901,1.02509,0.9661,0.9686,0.97032,0.64847,1.8099,3.4257,1.21502,0.00055252,0.00055252,0.00055252
115,93.3387,1.50793,3.55885,0.96553,0.95996,0.9697,0.9716,0.65156,1.84802,3.57588,1.25477,0.00054856,0.00054856,0.00054856
116,94.1595,1.47256,3.21405,0.92926,0.95996,0.9697,0.9716,0.65156,1.84802,3.57588,1.25477,0.0005446,0.0005446,0.0005446
117,95.0086,1.44812,3.20438,0.95765,0.95323,0.9697,0.97325,0.63344,1.89695,3.69701,1.26512,0.00054064,0.00054064,0.00054064
118,95.7756,1.3893,3.02417,0.94721,0.95323,0.9697,0.97325,0.63344,1.89695,3.69701,1.26512,0.00053668,0.00053668,0.00053668
119,96.5542,1.60612,3.31348,0.95651,0.93628,0.9697,0.9725,0.62978,1.94169,3.80099,1.26432,0.00053272,0.00053272,0.00053272
120,97.3926,1.46342,3.1547,0.95813,0.93628,0.9697,0.9725,0.62978,1.94169,3.80099,1.26432,0.00052876,0.00052876,0.00052876
121,98.2591,1.66163,3.1704,0.98618,0.93448,0.9697,0.97187,0.61736,1.94783,3.86598,1.24922,0.0005248,0.0005248,0.0005248
122,98.9982,1.4277,3.0743,0.94863,0.93448,0.9697,0.97187,0.61736,1.94783,3.86598,1.24922,0.00052084,0.00052084,0.00052084
123,99.7728,1.50849,3.04901,0.956,0.93593,0.9697,0.9716,0.62661,1.88065,4.00482,1.23877,0.00051688,0.00051688,0.00051688
124,100.509,1.3681,2.88035,0.91514,0.93593,0.9697,0.9716,0.62661,1.88065,4.00482,1.23877,0.00051292,0.00051292,0.00051292
125,101.282,1.50851,3.37669,0.96279,0.94376,0.9697,0.97089,0.64866,1.872,3.86335,1.21845,0.00050896,0.00050896,0.00050896
126,102.191,1.52173,3.10926,0.98907,0.94376,0.9697,0.97089,0.64866,1.872,3.86335,1.21845,0.000505,0.000505,0.000505
127,103.044,1.60675,3.86833,0.98243,0.96143,0.9697,0.96958,0.66655,1.83645,3.64427,1.1986,0.00050104,0.00050104,0.00050104
128,103.78,1.41596,2.99846,0.94157,0.96143,0.9697,0.96958,0.66655,1.83645,3.64427,1.1986,0.00049708,0.00049708,0.00049708
129,104.622,1.4059,2.85939,0.93861,0.98039,0.95572,0.97325,0.66736,1.81913,3.48284,1.16626,0.00049312,0.00049312,0.00049312
130,105.353,1.54562,3.12874,0.9562,0.98039,0.95572,0.97325,0.66736,1.81913,3.48284,1.16626,0.00048916,0.00048916,0.00048916
131,106.171,1.56269,3.09593,0.99958,0.97798,0.96174,0.9925,0.66092,1.88102,3.34609,1.15598,0.0004852,0.0004852,0.0004852
132,107.018,1.42129,2.9847,0.95175,0.97798,0.96174,0.9925,0.66092,1.88102,3.34609,1.15598,0.00048124,0.00048124,0.00048124
133,107.949,1.38873,3.09513,0.95081,0.97412,0.96587,0.995,0.68174,1.91917,3.28588,1.15845,0.00047728,0.00047728,0.00047728
134,108.76,1.36797,2.82523,0.94418,0.97412,0.96587,0.995,0.68174,1.91917,3.28588,1.15845,0.00047332,0.00047332,0.00047332
135,109.625,1.51605,2.88186,0.94619,0.97496,0.99247,0.995,0.69348,1.88714,3.22851,1.12897,0.00046936,0.00046936,0.00046936
136,110.442,1.44709,3.00066,0.95761,0.97496,0.99247,0.995,0.69348,1.88714,3.22851,1.12897,0.0004654,0.0004654,0.0004654
137,111.286,1.47668,3.00263,0.94553,0.98159,0.99514,0.995,0.69608,1.79822,3.21877,1.10101,0.00046144,0.00046144,0.00046144
138,112.217,1.424,2.9281,0.94384,0.98159,0.99514,0.995,0.69608,1.79822,3.21877,1.10101,0.00045748,0.00045748,0.00045748
